# of Segment,from sec,to sec,from TR (TR=1 is at time21sec of theaudio file),to TR,duration (sec),duration (TRs),Difference in Beliefs ratings (1-5),,,,,Difference in Emotions ratings (1-5),,,,,Difference in Intentions ratings (1-5),,,,
,,,,,,,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY
63,233.3,236.34,157,158,3.04,2,1,4,1,2,1,3,3,1,2,1,1,3,1,2,1
64,236.34,244.5,159,163,8.16,5,1,4,2,2,1,1,3,3,2,1,1,3,1,2,1
65,244.5,245.7,164,164,1.2,1,1,4,1,1,1,1,3,2,2,1,1,3,1,2,1
66,245.7,247.2,165,165,1.5,1,3,4,2,3,1,3,2,3,3,1,3,2,3,3,1
67,247.2,248.8,166,166,1.6,1,1,4,1,2,1,2,4,1,2,1,1,4,1,2,1
68,248.8,250.7,167,167,1.9,1,1,3,1,1,1,5,2,1,2,1,1,2,1,2,1
69,250.7,255.4,168,170,4.7,3,1,5,1,3,3,5,4,1,3,2,1,4,1,3,1
70,255.4,261,171,174,5.6,4,1,5,1,4,3,3,4,1,4,3,1,4,1,4,1
71,261,263,175,175,2,1,3,2,3,4,3,3,2,3,4,3,3,2,3,4,3
72,263,266.5,176,178,3.5,3,4,2,4,3,3,4,4,3,3,2,4,4,5,3,3
73,266.5,274.1,179,183,7.6,5,5,3,5,3,4,5,4,5,4,2,5,3,5,2,4
74,274.1,276.3,184,184,2.2,1,3,2,1,3,1,3,1,1,4,2,3,1,1,2,1
75,276.3,283.6,185,189,7.3,5,4,2,1,3,1,4,1,1,3,2,1,1,1,3,1
76,283.6,286.9,190,191,3.3,2,4,2,1,3,1,4,1,1,3,2,3,1,1,3,1
77,286.9,296.7,192,198,9.8,7,4,4,5,2,4,4,5,4,3,1,4,5,5,2,4
78,296.7,301.7,199,201,5,3,5,4,5,2,4,4,5,5,3,1,5,5,5,2,4
79,301.7,305.1,202,203,3.4,2,5,4,5,5,4,5,5,5,5,4,5,5,4,5,4
80,305.1,306.6,204,204,1.5,1,4,4,5,5,1,4,3,5,5,2,4,4,3,5,1
81,306.6,309.2,205,206,2.6,2,5,4,5,5,1,5,5,5,5,4,5,5,5,5,1
82,309.2,310.2,207,207,1,1,5,4,5,3,1,5,4,5,5,4,5,5,5,4,1
83,310.2,318,208,212,7.8,5,5,4,5,3,1,5,4,5,5,4,5,4,5,5,1
84,318,320.1,213,213,2.1,1,1,3,3,4,1,2,1,3,4,3,1,1,1,3,1
